names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,-log10_padj
BTN3A3,-1.5285468,-0.21599749,0.12637682042102913,0.18544678561866285,0.051526550607995804,0.05950402658826537,0.7317806899718005
BBX,2.307,-0.21612129,0.021054825163919332,0.03355672782693255,0.2942874639139183,0.2599386424645277,1.4742203945653591
THRB,1.562556,-0.2161718,0.11815706171143633,0.17421018657590445,0.02366372145918992,0.015083727470279943,0.758926454125365
CEP57L1,1.5422786,-0.21627513,0.1230058812547101,0.18083437827339616,0.03527687866328405,0.026588265371340916,0.7427190026485403
LINC00618,0.1768597,-0.21660863,0.8596185874389797,0.9671816293886151,0.002033942787157729,0.0010865396906557586,0.01449196104195215
BCAS4,3.2056725,-0.21669766,0.0013474722306399893,0.002352757079903183,0.09388942349750679,0.0740764412629426,2.628422911032111
CAPN13,0.43787003,-0.2172629,0.6614805048280763,0.812432923098416,0.008245122911381332,0.005880097149431164,0.09021248552541382
RUNDC1,5.9280787,-0.21743608,3.064998151586255e-09,6.847644847361057e-09,0.11869040328930103,0.08212961779368529,8.164458772400865
PIP5KL1,0.31534097,-0.21803199,0.7525027888620687,0.8931976509415858,0.010213454640888811,0.008500575226895053,0.04905242776858944
MFSD14A,1.7878994,-0.21833047,0.07379224435807777,0.11138969251598207,0.17421922841396204,0.157164770548383,0.9531549948942593
ANKHD1,1.7801787,-0.21923421,0.07504672553972155,0.11318554401799683,0.10394978567054501,0.09158890451233542,0.9462090374067418
DNAAF2,3.3514466,-0.21937083,0.0008039053838587938,0.001427775842370335,0.14036392266643338,0.11677105969576888,2.8453399704752087
DSTYK,1.177638,-0.21969587,0.23894095196843457,0.3353580793573683,0.06335841133759076,0.0559248370190464,0.4744912262905125
DNAJB13,0.042150196,-0.21996158,0.9663789654926271,0.9963338064271038,0.00048114775610182836,0.000255656397801355,0.0015951334622835655
HIP1,1.0117451,-0.22008727,0.3116599631968613,0.4277680311682621,0.051985828011547545,0.04582640930589288,0.3687916751314922
WDCP,0.35271826,-0.22023094,0.7242996714936993,0.8682749801472774,0.00675793893797568,0.004857471558225745,0.06134271324719158
FAM238A,0.0031550957,-0.22025287,0.9974826020890375,0.9992674356031164,0.0006561105765024932,0.0006391409945033875,0.00031826526434437454
KLF13,0.43785957,-0.2204973,0.6614880848878122,0.812432923098416,0.19698626541859854,0.18547871660488305,0.09021248552541382
BST1,-0.43256754,-0.22064513,0.665328981773238,0.8160029933703223,0.031755751902720675,0.033938386808129876,0.0883082481066427
BAZ2B,5.099757,-0.22088653,3.400893750213571e-07,7.061684657711112e-07,0.17522526463126586,0.13805445481273168,6.151091679929781
KANSL1-AS1,0.9596533,-0.22092314,0.3372297289071734,0.4591397701700302,0.04249409500481148,0.03687843538284546,0.3380550875055371
CASKIN2,2.4207265,-0.22105853,0.015489522072516266,0.024990067423486164,0.036151692765287374,0.022689505304870253,1.602232572140517
TFIP11,1.7374737,-0.22129196,0.08230357805068673,0.12366063055758066,0.06781996325780772,0.05720311900805318,0.9077685433217011
LEAP2,1.0317346,-0.22129896,0.3021964791530486,0.4160448866158723,0.04581838859242411,0.03969065575866036,0.38085981130125385
<class 'str'>-21,0.71172315,-0.22134359,0.47663621224325625,0.6212173629393251,0.014871839734056513,0.010993225105458264,0.20675641430317362
ZNF577,1.1419044,-0.22148237,0.25349376364023646,0.35418982282138284,0.020448779634327705,0.014188930077975202,0.4507639218472825
LEPROT,7.78271,-0.22192726,7.098727054243615e-15,1.8422736239555882e-14,0.29035080045490336,0.22018407260641698,13.734645865697955
GRAP,0.7212138,-0.22205481,0.4707779700257786,0.6151803974809557,0.018546058962470476,0.014572414674677233,0.21099751163557062
NBPF10,0.06039433,-0.22304517,0.9518415717516391,0.9937132604015947,0.00999475111538798,0.00965102901700115,0.0027389147881126904
PLPP5,0.70905244,-0.22317061,0.47829192542967836,0.6231813132360289,0.25901058525063425,0.2373769653585581,0.20538557792880544
WDR93,0.16781135,-0.22354749,0.8667316895655897,0.9700496751374991,0.0017933689091068148,0.0008947973923047424,0.013206025439205148
SLC2A11,1.914432,-0.22416574,0.0555649752764996,0.0850811291021669,0.05397603009360511,0.042822446631726956,1.070166755257475
CBR3,3.1926281,-0.22419442,0.001409843495527757,0.0024582211287789866,0.06554544659259907,0.0468490348970983,2.6093790528210175
ERVK3-1,2.424641,-0.22440404,0.015323539961928275,0.024735985094229782,0.06438631790744467,0.05004473986961524,1.6066707894651853
THAP2,-0.62878704,-0.22446667,0.5294884908618254,0.678203330194058,0.16520864316332778,0.1634922663939665,0.16864008202866063
TVP23C,0.14624012,-0.22469492,0.8837318348532928,0.9782474109308672,0.021148630915930364,0.020260769525757383,0.009551292847088659
POLK,1.1406815,-0.2247388,0.25400246216639843,0.3548154646605219,0.07311258857492783,0.06557586603604755,0.44999745966792226
NACA2,3.6248085,-0.22508231,0.00028917554393592844,0.0005263241929476619,0.11597847957309072,0.09235587370573949,3.2787466668016694
CHD6,4.6389003,-0.22510596,3.502680641671216e-06,6.9714437788377555e-06,0.16216866415886624,0.12910648088968427,5.156677270646652
GLB1L,0.7465482,-0.22540018,0.45533634663010425,0.5980440018023269,0.01519989502230776,0.011121053304358941,0.22326686110035815
HCN1,0.054413505,-0.22568373,0.9566057186829949,0.9947032106540706,0.0005467588137520777,0.000255656397801355,0.0023064802616555094
GFI1,-1.7123697,-0.22624698,0.08682855412411418,0.13010134383382493,0.022001574665383605,0.031317908730665985,0.8857182175306457
MIS12,1.4547983,-0.2264925,0.14572508509894266,0.21193398499655602,0.07917067623130085,0.06966636840086923,0.6737993957525478
EGFL8,0.23662066,-0.22663048,0.8129510829221471,0.9387060449162875,0.0038273116962645438,0.00255656397801355,0.027470385430901127
PIGK,1.4689296,-0.22673751,0.14185186895121302,0.2066795098362641,0.10213454640888811,0.09152499041288509,0.684702577103433
SVOP,0.009414053,-0.22685832,0.9924887837895254,0.9984896661054243,0.0011372583326043216,0.0010865396906557586,0.000656425511971461
KIFBP,2.9541373,-0.22720024,0.0031354456851009527,0.005338599704161266,0.06388329979879276,0.046657292598747284,2.2725726419424936
PRKCA,6.572481,-0.22741702,4.948366343901531e-11,1.1612210664110632e-10,0.1372364622517715,0.09542375047935575,9.935085093971015
LUC7L,4.213743,-0.2276116,2.5117292991825897e-05,4.8100868777835165e-05,0.18154579651823988,0.14904767991818996,4.317847079509486
MSN,-8.612141,-0.22763309,7.170878570282427e-18,1.998124712941057e-17,0.2870046365147406,0.3389364693851464,16.69937740877679
MAFF,5.912149,-0.22780788,3.3767310321932603e-09,7.531580220024058e-09,0.360795206018721,0.28697430653202094,8.12311389380774
